word,score,sentiment
pahit,-2,neg
pajak,-3,neg
paksa,-4,neg
paksaan,-4,neg
palsu,-4,neg
pamer,-4,neg
pangsit,-1,neg
panik,-3,neg
panjang,1,pos
pantas,3,pos
pantura,-4,neg
panutan,4,pos
parah,-5,neg
paranoid,-4,neg
parasit,-4,neg
parau,-3,neg
partisi,-1,neg
party,1,pos
parut,-1,neg
pasangan,4,pos
patut,4,pos
pecah,-2,neg
pecandu,-4,neg
pecundang,-4,neg
peduli,4,pos
pelacur,-4,neg
pelaku,-2,neg
pelakunya,-2,neg
pelanggaran,-3,neg
pelarian,-3,neg
pelecehan,-4,neg
peledak,-4,neg
pelit,-4,neg
pelonggaran,-2,neg
pelosok,-4,neg
peluk,3,pos
pelukan,4,pos
peluru,-3,neg
pemalas,-4,neg
pemalu,-2,neg
pembajakan,-3,neg
pembalasan,-4,neg
pembangkang,-4,neg
pembangkangan,-4,neg
pembantaian,-4,neg
pembatalan,-3,neg
pemberang,-4,neg
pemberontak,-4,neg
pemberontakan,-4,neg
pembesar,-2,neg
pembohong,-4,neg
pembuangan,-3,neg
pembubaran,-3,neg
pembunuh,-5,neg
pembunuhan,-5,neg
pemburu,-1,neg
pembusukan,-4,neg
